algorithm,best,mean,worst,population_std,mean_evaluations
PSO,5.32072519377e-09,1.42773518519e-07,6.67992779313e-07,2.62743885842e-07,3030.0
Local Search,4.97830825891,17.5145528265,24.8850748584,9.06754428949,1001.0
